Frase,Label Real,Prediccion,Correcto
laadu biinda'du,1,1,True
laatu gusitu,0,0,True
naa binda,1,1,True
laanu bica'nu,1,1,True
naa bisianda,1,1,True
laadu biquinedu,0,0,True
lii guutalu,0,0,True
lii hue,0,0,True
laanu bisaanu,0,0,True
laabe bisanabe,0,0,True
laatu bisaatu,0,0,True
lii biinalu,0,0,True
lii bisia,0,0,True
laadu gunidu,0,0,True
laatu bini dxiiña'tu,1,1,True
naa guriá'lu,0,0,True
laatu bisia'tu,1,1,True
laabe bindabe,0,0,True
laanu bisiandanu,0,0,True
laadu bitine'nu,0,0,True
laabe binibiabe,0,0,True
laanu gunna'du,0,0,True
laanu gulinu,0,0,True
lii bini dxiiña,0,0,True
laadu yendaodu,0,0,True
laabe biinda'be,1,1,True
laatu gudxhe,0,0,True
laatu bire'tu,1,1,True
laatu guye'tu,1,1,True
laadu gudxiba'nu,0,0,True
naa bedaneá,1,1,True
laatu guutatu,0,0,True
laadu bidxela'nu,0,0,True
naa binda'lu,0,0,True
laadu bini dxiiña'nu,0,0,True
laanu biui'nu diidxa,1,1,True
laadu binibiádu,0,0,True
laadu bini'du,1,1,True
laatu gunnatu,0,0,True
lii gupa'lu,1,1,True
laatu bitine,0,0,True
laanu bissidinu,0,0,True
laabe bisugaa'be,1,1,True
laabe gudxibabe,0,0,True
lii bire'lu,1,1,True
laabe gupa'lu,0,0,True
laadu guuta'nu,0,0,True
laatu yune'tu,1,1,True
naa gudiide,1,1,True
laabe bicaabe,0,0,True
laanu biziidinu,0,0,True
laanu biga'nu,1,1,True
laabe gupabe,0,0,True
lii gudiidilu,0,0,True
lii bioalu,0,0,True
laatu biyadxi'tu,1,1,True
laabe guleza'be,1,1,True
laabe bini'lu,0,0,True
laadu guye'du,1,1,True
laadu guye'nu,0,0,True
lii bicaa,0,0,True
naa guleza'lu,0,0,True
laabe guca huara'be,1,1,True
laabe yendaa'be,1,1,True
laabe biga'lu,0,0,True
laadu biziidi'nu,0,0,True
naa bitiñe'lu,0,0,True
laatu biinda'tu,1,1,True
lii guleza,0,0,True
naa gudxiba,1,1,True
lii yene'lu,1,1,True
naa gupa'lu,0,0,True
laanu bitine'nu,1,1,True
lii gudiidi,0,0,True
laadu gudiidi'du,1,1,True
laanu birenu,0,0,True
laatu gusi,0,0,True
laadu biinda'nu,0,0,True
laanu binda'du,0,0,True
laanu gunaxhiinu,0,0,True
laabe bisana'lu,0,0,True
lii gudxite'lu,1,1,True
laadu gusi'nu,0,0,True
naa bisenda'lu,0,0,True
lii bissidi,0,0,True
laabe guleeza'be,1,1,True
laanu gudxiba'du,0,0,True
naa yeganna'lu,0,0,True
naa guleza,1,1,True
laatu gulitu,0,0,True
laadu guleza'nu,0,0,True
laanu gudxibanu,0,0,True
naa biui diidxa,1,1,True
lii bisenda'lu,1,1,True
laanu guuta'du,0,0,True
naa binebiá,1,1,True
naa biina,1,1,True
laadu bendane'nu,0,0,True
laadu guca huara'du,1,1,True
laadu bire'du,1,1,True
laanu bica'du,0,0,True
naa bisana'lu,0,0,True
laatu binibiá'tu,1,1,True
laanu bendane'nu,1,1,True
laabe bisia'be,1,1,True
naa binebiá'lu,0,0,True
laadu guzi'nu,0,0,True
lii guuze,0,0,True
laanu bixoñe'nu,1,1,True
naa bigaya,1,1,True
laatu bendane'tu,1,1,True
naa guziá,1,1,True
laabe bisiandabe,0,0,True
laadu biyadxi'nu,0,0,True
laanu biquinenu,0,0,True
laatu bicaa'tu,1,1,True
laanu bini'du,0,0,True
laatu guni ique'tu,1,1,True
naa biyadxiá,1,1,True
naa guse,1,1,True
laadu bidi'nu,0,0,True
laatu bisiandatu,0,0,True
lii gupa,0,0,True
laanu bidxelanu,0,0,True
naa guse'lu,0,0,True
laabe bigabe,0,0,True
laatu guyetu,0,0,True
naa guyá,1,1,True
laatu guca huara'tu,1,1,True
naa bizuloá,1,1,True
laatu guri,0,0,True
lii bisialu,0,0,True
laadu bindadu,0,0,True
laabe gunna'lu,0,0,True
laadu bidi'du,1,1,True
laanu gudxinu,0,0,True
laanu gupa'du,0,0,True
laabe yendaa'lu,0,0,True
laatu bioatu,0,0,True
lii biina,0,0,True
laatu gudiidi'tu,1,1,True
laabe guri'lu,0,0,True
laabe biziidi'be,1,1,True
naa guliá,1,1,True
laabe hue'lu,0,0,True
laanu bidúya'nu,1,1,True
laadu gudxite'nu,0,0,True
lii bidi'lu,1,1,True
laadu guni iquedu,0,0,True
lii binibiá,0,0,True
laabe bisana'be,1,1,True
naa biyadxiá,1,1,True
laadu gupa'nu,0,0,True
naa gudxe,1,1,True
lii bigalu,0,0,True
laanu bini'nu,1,1,True
laatu gunaba,0,0,True
laanu guca huaranu,0,0,True
laabe bisia'lu,0,0,True
naa bisenda,1,1,True
naa biina'lu,0,0,True
naa guziá'lu,0,0,True
laabe bini dxiiñabe,0,0,True
laabe biquinebe,0,0,True
naa gunna'lu,0,0,True
lii bixoñe,0,0,True
laadu bixoba'du,1,1,True
laabe guca huara'lu,0,0,True
laanu guyenu,0,0,True
lii gunna'lu,1,1,True
laabe biziidibe,0,0,True
lii bicaalu,0,0,True
laatu biuitu diidxa,0,0,True
laabe biziidibe,0,0,True
laadu bisia'nu,0,0,True
lii bidxelalu,0,0,True
laabe guuzebe,0,0,True
laanu bicaanu,0,0,True
lii bitiñelu,0,0,True
lii guleza,0,0,True
laanu bidúyanu,0,0,True
naa yeneá,1,1,True
lii bisana,0,0,True
lii guzilu,0,0,True
lii guni,0,0,True
laatu biinda,0,0,True
laabe bioa'be,1,1,True
laatu bioa,0,0,True
naa bitiñe,1,1,True
lii binibiá'lu,1,1,True
laanu bixoba'nu,1,1,True
laanu bidinu,0,0,True
laanu bisia'nu,1,1,True
laatu bidúya,0,0,True
laadu guli'du,1,1,True
laanu biinda'nu,1,1,True
laatu gupa'tu,1,1,True
laadu binibiá'du,1,1,True
lii guye'lu,1,1,True
laabe guzi'be,1,1,True
laanu yeganna'nu,1,1,True
lii bini'lu,1,1,True
laatu guuta,0,0,True
laadu guyedu,0,0,True
naa hueá'lu,0,0,True
laatu guca huaratu,0,0,True
laatu bisianda'tu,1,1,True
naa biá,1,1,True
laadu hue'du,1,1,True
